web-scraper-order,web-scraper-start-url,pokemon_normaux,pokemon_normaux-href,id_pokemon,nom_pokemon,taille,poids,Points de vie de base,Attaque de base,Défense de base,Attaque spéciale de base,Défense spéciale de base,Vitesse de base,Type_pokemon1-src
"1530535121-1646","https://ivpokemon.fr/liste-pokemon","Armaldo","https://ivpokemon.fr/infos-pokemon?id=348","#348","Armaldo","1.5 m","68.2 kg","75","125","100","70","80","45","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534185-999","https://ivpokemon.fr/liste-pokemon","Draïeul","https://ivpokemon.fr/infos-pokemon?id=780","#780","Draïeul","3 m","185 kg","78","60","85","135","91","36","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535678-1953","https://ivpokemon.fr/liste-pokemon","Électhor","https://ivpokemon.fr/infos-pokemon?id=145","#145","Électhor","1.6 m","52.6 kg","90","90","85","125","90","100","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535616-1912","https://ivpokemon.fr/liste-pokemon","Toudoudou","https://ivpokemon.fr/infos-pokemon?id=174","#174","Toudoudou","0.3 m","1 kg","90","30","15","40","20","15","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534592-1301","https://ivpokemon.fr/liste-pokemon","Trompignon","https://ivpokemon.fr/infos-pokemon?id=590","#590","Trompignon","0.2 m","1 kg","69","55","45","55","55","15","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535136-1660","https://ivpokemon.fr/liste-pokemon","Écrapince","https://ivpokemon.fr/infos-pokemon?id=341","#341","Écrapince","0.6 m","11.5 kg","43","80","65","50","35","35","https://ivpokemon.fr/ressources/images/types/11.png"
"1530536162-2155","https://ivpokemon.fr/liste-pokemon","Salamèche","https://ivpokemon.fr/infos-pokemon?id=4","#4","Salamèche","0.6 m","8.5 kg","39","52","43","60","50","65","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534215-1022","https://ivpokemon.fr/liste-pokemon","Quartermac","https://ivpokemon.fr/infos-pokemon?id=766","#766","Quartermac","2 m","82.8 kg","100","120","90","40","60","80","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534738-1393","https://ivpokemon.fr/liste-pokemon","Rhinolove","https://ivpokemon.fr/infos-pokemon?id=528","#528","Rhinolove","0.9 m","10.5 kg","67","57","55","77","55","114","https://ivpokemon.fr/ressources/images/types/3.png"
"1530536147-2147","https://ivpokemon.fr/liste-pokemon","Chrysacier","https://ivpokemon.fr/infos-pokemon?id=11","#11","Chrysacier","0.7 m","9.9 kg","50","20","55","25","25","30","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535689-1963","https://ivpokemon.fr/liste-pokemon","Kabuto","https://ivpokemon.fr/infos-pokemon?id=140","#140","Kabuto","0.5 m","11.5 kg","30","80","90","55","45","55","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534149-968","https://ivpokemon.fr/liste-pokemon","Bamboiselle","https://ivpokemon.fr/infos-pokemon?id=797","#797","Bamboiselle","9.2 m","999.9 kg","97","101","103","107","101","61","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534798-1425","https://ivpokemon.fr/liste-pokemon","Roitiflam","https://ivpokemon.fr/infos-pokemon?id=500","#500","Roitiflam","1.6 m","150 kg","110","123","65","100","65","65","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534511-1246","https://ivpokemon.fr/liste-pokemon","Gueriaigle","https://ivpokemon.fr/infos-pokemon?id=628","#628","Gueriaigle","1.5 m","41 kg","100","123","75","57","75","80","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535182-1693","https://ivpokemon.fr/liste-pokemon","Sharpedo","https://ivpokemon.fr/infos-pokemon?id=319","#319","Sharpedo","1.8 m","88.8 kg","70","120","40","95","40","95","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535034-1591","https://ivpokemon.fr/liste-pokemon","Torterra","https://ivpokemon.fr/infos-pokemon?id=389","#389","Torterra","2.2 m","310 kg","95","109","105","75","85","56","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535680-1956","https://ivpokemon.fr/liste-pokemon","Artikodin","https://ivpokemon.fr/infos-pokemon?id=144","#144","Artikodin","1.7 m","55.4 kg","90","85","100","95","125","85","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534581-1292","https://ivpokemon.fr/liste-pokemon","Statitik","https://ivpokemon.fr/infos-pokemon?id=595","#595","Statitik","0.1 m","0.6 kg","50","47","50","57","50","65","https://ivpokemon.fr/ressources/images/types/13.png"
"1530534235-1036","https://ivpokemon.fr/liste-pokemon","Tritox","https://ivpokemon.fr/infos-pokemon?id=757","#757","Tritox","0.3 m","4.8 kg","48","44","40","71","40","77","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534420-1173","https://ivpokemon.fr/liste-pokemon","Florges","https://ivpokemon.fr/infos-pokemon?id=671","#671","Florges","1.1 m","10 kg","78","65","68","112","154","75","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535515-1886","https://ivpokemon.fr/liste-pokemon","Héliatronc","https://ivpokemon.fr/infos-pokemon?id=192","#192","Héliatronc","0.8 m","8.5 kg","75","75","55","105","85","30","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535836-2062","https://ivpokemon.fr/liste-pokemon","Empiflor","https://ivpokemon.fr/infos-pokemon?id=71","#71","Empiflor","1.7 m","15.5 kg","80","105","65","100","70","70","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535328-1752","https://ivpokemon.fr/liste-pokemon","Tarsal","https://ivpokemon.fr/infos-pokemon?id=280","#280","Tarsal","0.4 m","6.6 kg","28","25","25","45","35","40","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535951-2098","https://ivpokemon.fr/liste-pokemon","Ortide","https://ivpokemon.fr/infos-pokemon?id=44","#44","Ortide","0.8 m","8.6 kg","60","65","70","85","75","40","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535305-1733","https://ivpokemon.fr/liste-pokemon","Ninjask","https://ivpokemon.fr/infos-pokemon?id=291","#291","Ninjask","0.8 m","12 kg","61","90","45","50","50","160","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535452-1839","https://ivpokemon.fr/liste-pokemon","Corayon","https://ivpokemon.fr/infos-pokemon?id=222","#222","Corayon","0.6 m","5 kg","55","55","85","65","85","35","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534336-1112","https://ivpokemon.fr/liste-pokemon","Pitrouille","https://ivpokemon.fr/infos-pokemon?id=710","#710","Pitrouille","0.4 m","5 kg","49","66","70","44","55","51","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535789-2024","https://ivpokemon.fr/liste-pokemon","Spectrum","https://ivpokemon.fr/infos-pokemon?id=93","#93","Spectrum","1.6 m","0.1 kg","45","50","45","115","55","95","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534932-1520","https://ivpokemon.fr/liste-pokemon","Archéodong","https://ivpokemon.fr/infos-pokemon?id=437","#437","Archéodong","1.3 m","187 kg","67","89","116","79","116","33","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535441-1830","https://ivpokemon.fr/liste-pokemon","Airmure","https://ivpokemon.fr/infos-pokemon?id=227","#227","Airmure","1.7 m","50.5 kg","65","80","140","40","70","70","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534467-1206","https://ivpokemon.fr/liste-pokemon","Genesect","https://ivpokemon.fr/infos-pokemon?id=649","#649","Genesect","1.5 m","82.5 kg","71","120","95","120","95","99","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535061-1609","https://ivpokemon.fr/liste-pokemon","Métalosse","https://ivpokemon.fr/infos-pokemon?id=376","#376","Métalosse","1.6 m","550 kg","80","135","130","95","90","70","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535053-1604","https://ivpokemon.fr/liste-pokemon","Latias","https://ivpokemon.fr/infos-pokemon?id=380","#380","Latias","1.4 m","40 kg","80","80","90","110","130","110","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534292-1076","https://ivpokemon.fr/liste-pokemon","Picassaut","https://ivpokemon.fr/infos-pokemon?id=731","#731","Picassaut","0.3 m","1.2 kg","35","75","30","30","30","65","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534934-1523","https://ivpokemon.fr/liste-pokemon","Archéomire","https://ivpokemon.fr/infos-pokemon?id=436","#436","Archéomire","0.5 m","60.5 kg","57","24","86","24","86","23","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535131-1656","https://ivpokemon.fr/liste-pokemon","Balbuto","https://ivpokemon.fr/infos-pokemon?id=343","#343","Balbuto","0.5 m","21.5 kg","40","40","55","40","70","55","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534250-1047","https://ivpokemon.fr/liste-pokemon","Bourrinos","https://ivpokemon.fr/infos-pokemon?id=750","#750","Bourrinos","2.5 m","920 kg","100","125","100","55","85","35","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535324-1748","https://ivpokemon.fr/liste-pokemon","Gardevoir","https://ivpokemon.fr/infos-pokemon?id=282","#282","Gardevoir","1.6 m","48.4 kg","68","65","65","125","115","80","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534326-1103","https://ivpokemon.fr/liste-pokemon","Bruyverne","https://ivpokemon.fr/infos-pokemon?id=715","#715","Bruyverne","1.5 m","85 kg","85","70","80","97","80","123","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534170-985","https://ivpokemon.fr/liste-pokemon","Tokotoro","https://ivpokemon.fr/infos-pokemon?id=787","#787","Tokotoro","1.9 m","45.5 kg","70","130","115","85","95","75","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535095-1633","https://ivpokemon.fr/liste-pokemon","Okéoké","https://ivpokemon.fr/infos-pokemon?id=360","#360","Okéoké","0.6 m","14 kg","95","23","48","23","48","23","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534961-1541","https://ivpokemon.fr/liste-pokemon","Tritosor","https://ivpokemon.fr/infos-pokemon?id=423","#423","Tritosor","0.9 m","29.9 kg","111","83","68","92","82","39","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535151-1672","https://ivpokemon.fr/liste-pokemon","Altaria","https://ivpokemon.fr/infos-pokemon?id=334","#334","Altaria","1.1 m","20.6 kg","75","70","90","70","105","80","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535475-1857","https://ivpokemon.fr/liste-pokemon","Qwilfish","https://ivpokemon.fr/infos-pokemon?id=211","#211","Qwilfish","0.5 m","3.9 kg","65","95","75","55","55","85","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535051-1603","https://ivpokemon.fr/liste-pokemon","Latios","https://ivpokemon.fr/infos-pokemon?id=381","#381","Latios","2 m","60 kg","80","90","80","130","110","110","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535513-1885","https://ivpokemon.fr/liste-pokemon","Yanma","https://ivpokemon.fr/infos-pokemon?id=193","#193","Yanma","1.2 m","38 kg","65","65","45","75","45","95","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535791-2026","https://ivpokemon.fr/liste-pokemon","Fantominus","https://ivpokemon.fr/infos-pokemon?id=92","#92","Fantominus","1.3 m","0.1 kg","30","35","30","100","35","80","https://ivpokemon.fr/ressources/images/types/8.png"
"1530534808-1432","https://ivpokemon.fr/liste-pokemon","Vipélierre","https://ivpokemon.fr/infos-pokemon?id=495","#495","Vipélierre","0.6 m","8.1 kg","45","45","55","45","55","63","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534145-964","https://ivpokemon.fr/liste-pokemon","Engloutyran","https://ivpokemon.fr/infos-pokemon?id=799","#799","Engloutyran","5.5 m","888 kg","223","101","53","97","53","43","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534437-1185","https://ivpokemon.fr/liste-pokemon","Flambusard","https://ivpokemon.fr/infos-pokemon?id=663","#663","Flambusard","1.2 m","24.5 kg","78","81","71","74","69","126","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534351-1123","https://ivpokemon.fr/liste-pokemon","Strassie","https://ivpokemon.fr/infos-pokemon?id=703","#703","Strassie","0.3 m","5.7 kg","50","50","150","50","150","50","https://ivpokemon.fr/ressources/images/types/18.png"
"1530534887-1487","https://ivpokemon.fr/liste-pokemon","Babimanta","https://ivpokemon.fr/infos-pokemon?id=458","#458","Babimanta","1 m","65 kg","45","20","50","60","120","50","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534403-1164","https://ivpokemon.fr/liste-pokemon","Monorpale","https://ivpokemon.fr/infos-pokemon?id=679","#679","Monorpale","0.8 m","2 kg","45","80","100","35","37","28","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535373-1786","https://ivpokemon.fr/liste-pokemon","Flobio","https://ivpokemon.fr/infos-pokemon?id=259","#259","Flobio","0.7 m","28 kg","70","85","70","60","70","50","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534545-1268","https://ivpokemon.fr/liste-pokemon","Tranchodon","https://ivpokemon.fr/infos-pokemon?id=612","#612","Tranchodon","1.8 m","105.5 kg","76","147","90","60","70","97","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534398-1159","https://ivpokemon.fr/liste-pokemon","Exagide","https://ivpokemon.fr/infos-pokemon?id=681","#681","Exagide","1.7 m","53 kg","60","50","150","50","150","60","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534424-1175","https://ivpokemon.fr/liste-pokemon","Flabébé","https://ivpokemon.fr/infos-pokemon?id=669","#669","Flabébé","0.1 m","0.1 kg","44","38","39","61","79","42","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535413-1813","https://ivpokemon.fr/liste-pokemon","Magby","https://ivpokemon.fr/infos-pokemon?id=240","#240","Magby","0.7 m","21.4 kg","45","75","37","70","55","83","https://ivpokemon.fr/ressources/images/types/10.png"
"1530534227-1028","https://ivpokemon.fr/liste-pokemon","Croquine","https://ivpokemon.fr/infos-pokemon?id=761","#761","Croquine","0.3 m","3.2 kg","42","30","38","30","38","32","https://ivpokemon.fr/ressources/images/types/12.png"
"1530534160-977","https://ivpokemon.fr/liste-pokemon","Lunala","https://ivpokemon.fr/infos-pokemon?id=792","#792","Lunala","4 m","120 kg","137","113","89","137","107","97","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535176-1690","https://ivpokemon.fr/liste-pokemon","Chamallot","https://ivpokemon.fr/infos-pokemon?id=322","#322","Chamallot","0.7 m","24 kg","60","60","40","65","45","35","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534398-1160","https://ivpokemon.fr/liste-pokemon","Exagide","https://ivpokemon.fr/infos-pokemon?id=681","#681","Exagide","1.7 m","53 kg","60","50","150","50","150","60","https://ivpokemon.fr/ressources/images/types/8.png"
"1530535405-1809","https://ivpokemon.fr/liste-pokemon","Entei","https://ivpokemon.fr/infos-pokemon?id=244","#244","Entei","2.1 m","198 kg","115","115","85","90","75","100","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535085-1625","https://ivpokemon.fr/liste-pokemon","Kaimorse","https://ivpokemon.fr/infos-pokemon?id=365","#365","Kaimorse","1.4 m","150.6 kg","110","80","90","95","90","65","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534467-1205","https://ivpokemon.fr/liste-pokemon","Genesect","https://ivpokemon.fr/infos-pokemon?id=649","#649","Genesect","1.5 m","82.5 kg","71","120","95","120","95","99","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535755-2004","https://ivpokemon.fr/liste-pokemon","Smogo","https://ivpokemon.fr/infos-pokemon?id=109","#109","Smogo","0.6 m","1 kg","40","65","95","60","45","35","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534541-1266","https://ivpokemon.fr/liste-pokemon","Polagriffe","https://ivpokemon.fr/infos-pokemon?id=614","#614","Polagriffe","2.6 m","260 kg","95","110","80","70","80","50","https://ivpokemon.fr/ressources/images/types/15.png"
"1530534946-1531","https://ivpokemon.fr/liste-pokemon","Corboss","https://ivpokemon.fr/infos-pokemon?id=430","#430","Corboss","0.9 m","27.3 kg","100","125","52","105","52","71","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534791-1422","https://ivpokemon.fr/liste-pokemon","Clamiral","https://ivpokemon.fr/infos-pokemon?id=503","#503","Clamiral","1.5 m","94.6 kg","95","100","85","108","70","70","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534957-1539","https://ivpokemon.fr/liste-pokemon","Baudrive","https://ivpokemon.fr/infos-pokemon?id=425","#425","Baudrive","0.4 m","1.2 kg","90","50","34","60","44","70","https://ivpokemon.fr/ressources/images/types/3.png"
"1530535379-1790","https://ivpokemon.fr/liste-pokemon","Galifeu","https://ivpokemon.fr/infos-pokemon?id=256","#256","Galifeu","0.9 m","19.5 kg","60","85","60","85","60","55","https://ivpokemon.fr/ressources/images/types/10.png"
"1530535934-2084","https://ivpokemon.fr/liste-pokemon","Miaouss","https://ivpokemon.fr/infos-pokemon?id=52","#52","Miaouss","0.4 m","4.2 kg","40","45","35","40","40","90","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534515-1249","https://ivpokemon.fr/liste-pokemon","Frison","https://ivpokemon.fr/infos-pokemon?id=626","#626","Frison","1.6 m","94.6 kg","95","110","95","40","95","55","https://ivpokemon.fr/ressources/images/types/1.png"
"1530535808-2038","https://ivpokemon.fr/liste-pokemon","Doduo","https://ivpokemon.fr/infos-pokemon?id=84","#84","Doduo","1.4 m","39.2 kg","35","85","45","35","35","75","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534987-1558","https://ivpokemon.fr/liste-pokemon","Bastiodon","https://ivpokemon.fr/infos-pokemon?id=411","#411","Bastiodon","1.3 m","149.5 kg","60","52","168","47","138","30","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534573-1284","https://ivpokemon.fr/liste-pokemon","Tic","https://ivpokemon.fr/infos-pokemon?id=599","#599","Tic","0.3 m","21 kg","40","55","70","45","60","30","https://ivpokemon.fr/ressources/images/types/9.png"
"1530535352-1773","https://ivpokemon.fr/liste-pokemon","Papinox","https://ivpokemon.fr/infos-pokemon?id=269","#269","Papinox","1.2 m","31.6 kg","60","50","70","50","90","65","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535210-1712","https://ivpokemon.fr/liste-pokemon","Galeking","https://ivpokemon.fr/infos-pokemon?id=306","#306","Galeking","2.1 m","360 kg","70","110","180","60","60","50","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535316-1741","https://ivpokemon.fr/liste-pokemon","Chapignon","https://ivpokemon.fr/infos-pokemon?id=286","#286","Chapignon","1.2 m","39.2 kg","60","130","80","60","60","70","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535819-2048","https://ivpokemon.fr/liste-pokemon","Ramoloss","https://ivpokemon.fr/infos-pokemon?id=79","#79","Ramoloss","1.2 m","36 kg","90","65","65","40","40","15","https://ivpokemon.fr/ressources/images/types/11.png"
"1530534181-995","https://ivpokemon.fr/liste-pokemon","Bébécaille","https://ivpokemon.fr/infos-pokemon?id=782","#782","Bébécaille","0.6 m","29.7 kg","45","55","65","45","45","45","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534343-1117","https://ivpokemon.fr/liste-pokemon","Trousselin","https://ivpokemon.fr/infos-pokemon?id=707","#707","Trousselin","0.2 m","3 kg","57","80","91","80","87","75","https://ivpokemon.fr/ressources/images/types/9.png"
"1530534710-1374","https://ivpokemon.fr/liste-pokemon","Couverdure","https://ivpokemon.fr/infos-pokemon?id=541","#541","Couverdure","0.5 m","7.3 kg","55","63","90","50","80","42","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535036-1593","https://ivpokemon.fr/liste-pokemon","Boskara","https://ivpokemon.fr/infos-pokemon?id=388","#388","Boskara","1.1 m","97 kg","75","89","85","55","65","36","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535994-2125","https://ivpokemon.fr/liste-pokemon","Arbok","https://ivpokemon.fr/infos-pokemon?id=24","#24","Arbok","3.5 m","65 kg","60","85","69","65","79","80","https://ivpokemon.fr/ressources/images/types/4.png"
"1530534499-1234","https://ivpokemon.fr/liste-pokemon","Diamat","https://ivpokemon.fr/infos-pokemon?id=634","#634","Diamat","1.4 m","50 kg","72","85","70","65","70","58","https://ivpokemon.fr/ressources/images/types/17.png"
"1530534155-974","https://ivpokemon.fr/liste-pokemon","Mouscoto","https://ivpokemon.fr/infos-pokemon?id=794","#794","Mouscoto","2.4 m","333.6 kg","107","139","139","53","53","79","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534240-1039","https://ivpokemon.fr/liste-pokemon","Spododo","https://ivpokemon.fr/infos-pokemon?id=755","#755","Spododo","0.2 m","1.5 kg","40","35","55","65","75","15","https://ivpokemon.fr/ressources/images/types/12.png"
"1530535669-1947","https://ivpokemon.fr/liste-pokemon","Dracolosse","https://ivpokemon.fr/infos-pokemon?id=149","#149","Dracolosse","2.2 m","210 kg","91","134","95","100","100","80","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534351-1122","https://ivpokemon.fr/liste-pokemon","Strassie","https://ivpokemon.fr/infos-pokemon?id=703","#703","Strassie","0.3 m","5.7 kg","50","50","150","50","150","50","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534522-1254","https://ivpokemon.fr/liste-pokemon","Golemastoc","https://ivpokemon.fr/infos-pokemon?id=623","#623","Golemastoc","2.8 m","330 kg","89","124","80","55","80","55","https://ivpokemon.fr/ressources/images/types/5.png"
"1530536141-2141","https://ivpokemon.fr/liste-pokemon","Coconfort","https://ivpokemon.fr/infos-pokemon?id=14","#14","Coconfort","0.6 m","10 kg","45","25","50","25","25","35","https://ivpokemon.fr/ressources/images/types/7.png"
"1530535695-1968","https://ivpokemon.fr/liste-pokemon","Porygon","https://ivpokemon.fr/infos-pokemon?id=137","#137","Porygon","0.8 m","36.5 kg","65","60","70","85","75","40","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534319-1098","https://ivpokemon.fr/liste-pokemon","Zygarde","https://ivpokemon.fr/infos-pokemon?id=718","#718","Zygarde","5 m","305 kg","108","100","121","81","95","95","https://ivpokemon.fr/ressources/images/types/16.png"
"1530534917-1509","https://ivpokemon.fr/liste-pokemon","Carmache","https://ivpokemon.fr/infos-pokemon?id=444","#444","Carmache","1.4 m","56 kg","68","90","65","50","55","82","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535134-1658","https://ivpokemon.fr/liste-pokemon","Colhomard","https://ivpokemon.fr/infos-pokemon?id=342","#342","Colhomard","1.1 m","32.8 kg","63","120","85","90","55","55","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535471-1853","https://ivpokemon.fr/liste-pokemon","Caratroc","https://ivpokemon.fr/infos-pokemon?id=213","#213","Caratroc","0.6 m","20.5 kg","20","10","230","10","230","5","https://ivpokemon.fr/ressources/images/types/7.png"
"1530534334-1109","https://ivpokemon.fr/liste-pokemon","Banshitrouye","https://ivpokemon.fr/infos-pokemon?id=711","#711","Banshitrouye","0.9 m","12.5 kg","65","90","122","58","75","84","https://ivpokemon.fr/ressources/images/types/8.png"
"1530536074-2138","https://ivpokemon.fr/liste-pokemon","Roucool","https://ivpokemon.fr/infos-pokemon?id=16","#16","Roucool","0.3 m","1.8 kg","40","45","40","35","35","56","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534723-1384","https://ivpokemon.fr/liste-pokemon","Tritonde","https://ivpokemon.fr/infos-pokemon?id=535","#535","Tritonde","0.5 m","4.5 kg","50","50","40","50","40","64","https://ivpokemon.fr/ressources/images/types/11.png"
"1530535027-1587","https://ivpokemon.fr/liste-pokemon","Simiabraz","https://ivpokemon.fr/infos-pokemon?id=392","#392","Simiabraz","1.2 m","55 kg","76","104","71","104","71","108","https://ivpokemon.fr/ressources/images/types/2.png"
"1530534441-1189","https://ivpokemon.fr/liste-pokemon","Passerouge","https://ivpokemon.fr/infos-pokemon?id=661","#661","Passerouge","0.3 m","1.7 kg","45","50","43","40","38","62","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534172-988","https://ivpokemon.fr/liste-pokemon","Tokopiyon","https://ivpokemon.fr/infos-pokemon?id=786","#786","Tokopiyon","1.2 m","18.6 kg","70","85","75","130","115","95","https://ivpokemon.fr/ressources/images/types/6.png"
"1530534669-1343","https://ivpokemon.fr/liste-pokemon","Baggaïd","https://ivpokemon.fr/infos-pokemon?id=560","#560","Baggaïd","1.1 m","30 kg","65","90","115","45","115","58","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535102-1637","https://ivpokemon.fr/liste-pokemon","Tropius","https://ivpokemon.fr/infos-pokemon?id=357","#357","Tropius","2 m","100 kg","99","68","83","72","87","51","https://ivpokemon.fr/ressources/images/types/3.png"
"1530534832-1447","https://ivpokemon.fr/liste-pokemon","Palkia","https://ivpokemon.fr/infos-pokemon?id=484","#484","Palkia","4.2 m","336 kg","90","120","100","150","120","100","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535616-1913","https://ivpokemon.fr/liste-pokemon","Toudoudou","https://ivpokemon.fr/infos-pokemon?id=174","#174","Toudoudou","0.3 m","1 kg","90","30","15","40","20","15","https://ivpokemon.fr/ressources/images/types/18.png"
"1530535627-1920","https://ivpokemon.fr/liste-pokemon","Nostenfer","https://ivpokemon.fr/infos-pokemon?id=169","#169","Nostenfer","1.8 m","75 kg","85","90","80","70","80","130","https://ivpokemon.fr/ressources/images/types/4.png"
"1530535932-2083","https://ivpokemon.fr/liste-pokemon","Persian","https://ivpokemon.fr/infos-pokemon?id=53","#53","Persian","1 m","32 kg","65","70","60","65","65","115","https://ivpokemon.fr/ressources/images/types/1.png"
"1530534475-1213","https://ivpokemon.fr/liste-pokemon","Démétéros","https://ivpokemon.fr/infos-pokemon?id=645","#645","Démétéros","1.5 m","68 kg","89","125","90","115","80","101","https://ivpokemon.fr/ressources/images/types/5.png"
"1530534170-986","https://ivpokemon.fr/liste-pokemon","Tokotoro","https://ivpokemon.fr/infos-pokemon?id=787","#787","Tokotoro","1.9 m","45.5 kg","70","130","115","85","95","75","https://ivpokemon.fr/ressources/images/types/6.png"
"1530535415-1814","https://ivpokemon.fr/liste-pokemon","Élekid","https://ivpokemon.fr/infos-pokemon?id=239","#239","Élekid","0.6 m","23.5 kg","45","63","37","65","55","95","https://ivpokemon.fr/ressources/images/types/13.png"
"1530535034-1592","https://ivpokemon.fr/liste-pokemon","Torterra","https://ivpokemon.fr/infos-pokemon?id=389","#389","Torterra","2.2 m","310 kg","95","109","105","75","85","56","https://ivpokemon.fr/ressources/images/types/5.png"
"1530535848-2071","https://ivpokemon.fr/liste-pokemon","Alakazam","https://ivpokemon.fr/infos-pokemon?id=65","#65","Alakazam","1.5 m","48 kg","55","50","45","135","95","120","https://ivpokemon.fr/ressources/images/types/14.png"
"1530535377-1789","https://ivpokemon.fr/liste-pokemon","Braségali","https://ivpokemon.fr/infos-pokemon?id=257","#257","Braségali","1.9 m","52 kg","80","120","70","110","70","80","https://ivpokemon.fr/ressources/images/types/2.png"
"1530535068-1615","https://ivpokemon.fr/liste-pokemon","Drattak","https://ivpokemon.fr/infos-pokemon?id=373","#373","Drattak","1.5 m","102.6 kg","95","135","80","110","80","100","https://ivpokemon.fr/ressources/images/types/16.png"
"1530535723-1984","https://ivpokemon.fr/liste-pokemon","Lippoutou","https://ivpokemon.fr/infos-pokemon?id=124","#124","Lippoutou","1.4 m","40.6 kg","65","50","35","115","95","95","https://ivpokemon.fr/ressources/images/types/14.png"
"1530534652-1329","https://ivpokemon.fr/liste-pokemon","Miamiasme","https://ivpokemon.fr/infos-pokemon?id=568","#568","Miamiasme","0.6 m","31 kg","50","50","62","40","62","65","https://ivpokemon.fr/ressources/images/types/4.png"
